window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2025-08-27 21:00:00+00:00,2025-11-25 20:00:00+00:00,-0.5081239164059184,0.2325515562292947,0.5362939428113724
1,2025-11-25 21:00:00+00:00,2026-02-23 20:00:00+00:00,-1.7364897479469883,0.2936558408080483,0.6849839306370571
2,2026-02-23 21:00:00+00:00,2026-05-25 11:00:00+00:00,0.6954102569246364,0.2275686876144431,0.8162705668378591
3,2026-05-25 12:00:00+00:00,2026-08-23 11:00:00+00:00,3.018073727979299,0.10318347378974216,0.47802468691978844
