window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2025-10-01 03:00:00+00:00,2025-12-30 02:00:00+00:00,-2.3797578227620786,0.30491643430988924,0.44425167171198304
1,2025-12-30 03:00:00+00:00,2026-03-30 02:00:00+00:00,-1.281812541597094,0.3181363270969839,0.5948102098971588
2,2026-03-30 03:00:00+00:00,2026-06-28 06:00:00+00:00,4.448232974137395,0.09571102169687651,0.6380775806802896
3,2026-06-28 07:00:00+00:00,2026-09-01 16:00:00+00:00,0.8104329752085111,0.10245538888011264,0.7263723940952072
