year,n_days,bh_sharpe,hmm_sharpe,hmm_max_dd
2020,39,,,0.0
2021,270,2.022827062032275,2.2497402570577925,0.16236422151467733
2022,270,-0.6850241707196063,-0.27348427117001356,0.42809198629088174
2023,45,,,0.0
