window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2025-06-09 13:00:00+00:00,2025-09-07 12:00:00+00:00,4.824870579244627,0.11013408489881304,0.6306577390816224
1,2025-09-07 13:00:00+00:00,2025-12-06 12:00:00+00:00,-0.2832281359556718,0.14259086273144325,0.4284098304042719
2,2025-12-06 13:00:00+00:00,2026-03-06 12:00:00+00:00,-2.448896460077843,0.25969941909498623,0.5557078567345035
3,2026-03-06 13:00:00+00:00,2026-06-05 03:00:00+00:00,-1.4370798731197416,0.1651307518298828,0.6069475156388421
4,2026-06-05 04:00:00+00:00,2026-09-01 16:00:00+00:00,2.9825134654860133,0.05957706510490121,0.6361637162770586
