window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2025-07-04 15:00:00+00:00,2025-10-02 14:00:00+00:00,3.4650956071383505,0.18194296784603603,0.600227825299372
1,2025-10-02 15:00:00+00:00,2025-12-31 14:00:00+00:00,-2.777905031209278,0.4646401005975368,0.6678811358541783
2,2025-12-31 15:00:00+00:00,2026-03-31 14:00:00+00:00,-0.12967934822278754,0.24205613301000495,0.6133361644360773
3,2026-03-31 15:00:00+00:00,2026-06-29 18:00:00+00:00,0.6080048086382135,0.22359200837953136,0.6193404821486337
4,2026-06-29 19:00:00+00:00,2026-09-01 16:00:00+00:00,1.3038165729470843,0.11777593060296071,0.5420670311467066
