window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2025-08-27 21:00:00+00:00,2025-11-25 20:00:00+00:00,-0.5081239164063656,0.23255155622960588,0.5362939428111713
1,2025-11-25 21:00:00+00:00,2026-02-23 20:00:00+00:00,-1.736489747952312,0.29365584080845947,0.68498393063712
2,2026-02-23 21:00:00+00:00,2026-05-25 11:00:00+00:00,0.6954102569243016,0.22756868761452367,0.8162705668378627
3,2026-05-25 12:00:00+00:00,2026-08-23 11:00:00+00:00,3.0180737279915024,0.10318347378934739,0.47802468691947264
