window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2025-10-16,2025-12-30,-0.7658231593498809,0.07559753650422646,0.7480952822410479
1,2025-12-31,2026-03-12,3.9584857452820126,0.051804635709613404,0.8270513211862844
2,2026-03-13,2026-06-08,0.12990855547076097,0.1325083805611978,0.7834332580355353
3,2026-06-09,2026-09-02,-0.24261241864348124,0.10317057646156284,0.7005077608699181
