symbol,n_test_bars,n_windows,cal_eta,bh_sharpe,hmm_sharpe,sharpe_delta,bh_max_dd,hmm_max_dd,p_hmm_beats_bh
CNO,995,5,4.0,-0.031964425285453194,0.06433091960887873,0.09629534489433192,0.5071128223274656,0.44507371908570753,0.583
SKT,995,5,8.0,0.5381238481794266,0.6291369650306514,0.09101311685122482,0.470282608184635,0.2904656948395896,0.551
TCBI,995,5,16.0,-0.14125534060873987,-0.05328574733827999,0.08796959327045989,0.71277556030353,0.4287801392114545,0.585
FULT,995,5,2.0,-0.06759449726950366,0.020125654582181535,0.08772015185168519,0.6716635143596612,0.5253509104089852,0.569
SR,539,4,4.0,0.5034313299697798,0.5897225151394312,0.0862911851696514,0.21688624928090044,0.19174123183523997,0.518
BKH,995,5,0.25,0.11019125599125876,0.19275173770488982,0.08256048171363106,0.3036864465685128,0.25381632279340455,0.484
ESNT,642,4,16.0,0.5175237338066042,0.5993908501134965,0.08186711630689225,0.17921262208848346,0.12921371270985804,0.532
YOU,275,3,2.0,1.6166541466346405,1.6984811051597606,0.08182695852512012,0.2117354420002484,0.18878074197565087,0.613
PSMT,995,5,0.25,-0.29137403104792425,-0.2111917264616638,0.08018230458626047,0.5781965929563372,0.4398338884748485,0.546
TXG,358,4,4.0,2.2301779294127497,2.3050965098555145,0.07491858044276478,0.334331366610629,0.23160412743013709,0.546
SWX,995,5,16.0,-0.12066737946314526,-0.04822121058375776,0.07244616887938751,0.5155104704946121,0.37778954552805205,0.517
SIGI,995,5,16.0,0.6579977690952857,0.7296255130810065,0.0716277439857208,0.1934862794285003,0.1912380798173915,0.58
ACIW,960,5,1.0,0.5456654139722755,0.6148473178514334,0.0691819038791579,0.43894706770165803,0.4061306073211521,0.553
NJR,995,5,8.0,0.4701652770535239,0.5347434554054487,0.06457817835192475,0.24114146606831116,0.23034705562625257,0.553
ABCB,995,5,8.0,-0.17801652695811127,-0.11660820467286724,0.061408322285244024,0.7085347298535072,0.6002607979719842,0.562
MMSI,995,5,8.0,0.4271092358424751,0.4860275983076818,0.05891836246520665,0.3490700487353028,0.31372447937226394,0.561
BDC,995,5,0.25,0.37253621943154425,0.4305615847386148,0.05802536530707053,0.45648204782462487,0.3627817224069614,0.525
BOOT,616,4,4.0,0.5999607870781608,0.6576891694166236,0.05772838233846278,0.42847028091233097,0.31740121076689215,0.531
AZZ,995,5,0.5,-0.20242002614564694,-0.14960925342956422,0.05281077271608273,0.6410379634835393,0.41230740799702775,0.566
POR,995,5,16.0,0.4098927271626715,0.4602256722027572,0.050332945040085675,0.21049476137464834,0.20039528267546464,0.547
HAE,995,5,8.0,-0.3554994871186751,-0.30687516331414494,0.048624323804530134,1.158972570604645,0.5921400675502495,0.557
AUB,376,4,1.0,0.8783388377568144,0.9229108896539048,0.04457205189709035,0.21166113940862563,0.14517473114970267,0.507
SBRA,791,4,2.0,0.2785517383171268,0.31783946191665,0.039287723599523205,0.21517235708579002,0.17385655353245505,0.533
OGS,629,4,8.0,0.2611563839327566,0.2990352275306112,0.037878843597854595,0.18468455381897442,0.18468455381897828,0.533
RDN,995,5,2.0,0.3604792629157839,0.39642449517046124,0.03594523225467733,0.3259136500607198,0.27568836541244146,0.529
PARR,606,4,16.0,2.040945439300134,2.0697922458463567,0.028846806546222847,0.3109949666799878,0.2638110017973526,0.485
SLAB,995,5,2.0,0.10609552579756254,0.13239534014182477,0.026299814344262235,0.6380534065386196,0.44751196536197635,0.519
MTRN,798,4,0.5,0.781580221317265,0.807184335988138,0.02560411467087298,0.49776776684853397,0.30335502908811535,0.523
HASI,693,4,0.25,0.5984716588485778,0.6199514403342321,0.021479781485654326,0.26192957634936587,0.2564393827480676,0.515
UBSI,995,5,4.0,-0.0622179612137659,-0.04121821832298776,0.02099974289077814,0.4491177382659004,0.3223246991668006,0.532
FCFS,995,5,8.0,0.5914943534397719,0.6107638600468055,0.019269506607033637,0.44861694225778276,0.3422145691396514,0.575
LTH,261,3,1.0,2.319483961958582,2.3340627377684626,0.01457877580988054,0.09650172001083553,0.09428487606320556,0.565
ACA,412,4,4.0,1.3961993787173042,1.4098970584144945,0.01369767969719038,0.23784102969949678,0.17657405645862817,0.521
ZWS,261,3,2.0,-0.14035827517467953,-0.12847701837803963,0.0118812567966399,0.1536929091623632,0.1536929091623632,0.633
LAUR,480,4,8.0,1.1611305527849516,1.1728162222998788,0.011685669514927222,0.17871595033610915,0.16023007972254205,0.539
ITGR,995,5,16.0,0.12463000969915548,0.13520150062108435,0.01057149092192887,0.6677842200730705,0.4947194226246992,0.559
FLR,995,5,2.0,0.7457214107582405,0.748799063828624,0.003077653070383546,0.5249716703228966,0.5249716703228966,0.492
BCO,995,5,2.0,-0.19142987031175437,-0.193538197563184,-0.0021083272514296203,0.5409214291422741,0.5310812785975425,0.528
PTEN,995,5,8.0,0.3457727718872876,0.33826311362124994,-0.0075096582660376665,0.7189910308578659,0.5096588764344208,0.482
VAL,264,3,2.0,-0.3866772076161481,-0.40353314397089435,-0.016855936354746248,0.4461214803021513,0.23110566407037764,0.367
SXT,995,5,16.0,-0.15926526159019944,-0.1766883115993719,-0.017423050009172464,0.47917879304044686,0.47028552506946325,0.506
XENE,591,4,8.0,0.9254033766798596,0.9079415298155071,-0.01746184686435248,0.29790362652331925,0.17284547029710062,0.458
HOMB,995,5,4.0,0.3718302156776907,0.33856805470451595,-0.03326216097317475,0.2475830806680479,0.21858317500093513,0.483
GTX,264,3,1.0,1.404598492711183,1.3425117487016724,-0.06208674400951053,0.23946705666033818,0.15962482760484045,0.367
UMBF,995,5,8.0,-0.05494193488171156,-0.11918817911809333,-0.06424624423638177,0.7176107294583796,0.642731776626086,0.495
FSS,995,5,4.0,0.5384700457375022,0.47332840960829814,-0.0651416361292041,0.40442549890755586,0.4423730294795004,0.495
AGX,976,5,8.0,1.079094010355627,1.0059788410217099,-0.07311516933391715,0.6754759575750835,0.481280264595273,0.431
BCPC,995,5,8.0,0.27093420507800936,0.19224663108300605,-0.07868757399500331,0.4174797166475568,0.37896059814173594,0.461
JOBY,250,3,1.0,-1.0472674102306827,-1.1354198082920386,-0.08815239806135589,0.613042188933849,0.3264601549607211,0.375
ABG,995,5,2.0,0.13019748449489038,0.006186662342425858,-0.12401082215246452,0.4873710789917684,0.5892832878317666,0.405
MAC,995,5,4.0,-0.043345602154260386,-0.1827984744548188,-0.13945287230055842,1.0554337753070053,0.7812340327957523,0.437
PECO,255,3,4.0,0.1356822479049298,-0.021493743288042558,-0.15717599119297238,0.11486448379226985,0.11512249678113734,0.307
BIPC,341,4,0.25,-1.0128352983109483,-1.1807489377953837,-0.16791363948443538,0.36172971460035636,0.3635953056710062,0.351
INSW,510,4,8.0,2.1020311772594744,1.9188628192274315,-0.1831683580320429,0.1751364725410992,0.17288138408335924,0.387
TVTX,291,3,1.0,1.632015701774884,1.4487423230390684,-0.18327337873581562,0.19292977271771303,0.12409383627094402,0.319
OUT,612,4,0.25,1.552961143983857,1.3617361337422236,-0.19122501024163352,0.1686106722939592,0.16864506612159358,0.426
VCTR,428,4,4.0,1.5280127695913017,1.327659827781235,-0.2003529418100667,0.2202407916562483,0.15883373776232657,0.473
LIVN,544,4,4.0,1.2101125828420507,1.0042349857037702,-0.20587759713828047,0.2022271160098093,0.18700220087810263,0.4
MATX,732,4,0.5,0.69865051730487,0.48885421125008593,-0.2097963060547841,0.5327101160899786,0.4857206478181221,0.442
PTGX,502,4,8.0,1.933930958372423,1.7139147769570282,-0.2200161814153947,0.1801434086146445,0.13026113224197367,0.337
RIG,995,5,1.0,0.28951845413450034,0.06276036156328639,-0.22675809257121393,1.261131218165885,0.727505665462617,0.35
GKOS,582,4,2.0,0.948780334007859,0.71034159643603,-0.23843873757182898,0.3555359534970163,0.27160934496148437,0.409
FLG,995,5,8.0,0.008905173437208482,-0.2594143160138587,-0.2683194894510672,0.7812544480702124,0.6976343927933737,0.335
CIFR,262,3,1.0,0.06927593811863457,-0.21534738474963364,-0.2846233228682682,0.5946856229310847,0.25071950785058794,0.375
MYRG,901,5,8.0,0.5832534941303752,0.266905774793978,-0.3163477193363972,0.5844193599924148,0.5143802722517739,0.379
QBTS,201,2,4.0,-0.508917045014121,-0.8727673247429538,-0.36385027972883277,0.6061916772957112,0.20605207909511178,0.254
LQDA,415,4,1.0,1.7443135069235849,1.3448552259081565,-0.39945828101542835,0.4248453498200663,0.35123250722166494,0.362
QLYS,701,4,1.0,0.2782205644614673,-0.1605702610151959,-0.4387908254766632,0.6982322687715437,0.4832066036342069,0.396
COGT,421,4,4.0,1.1253492789352046,0.5452243458013797,-0.580124933133825,0.30550044967012246,0.26941473560101026,0.368
JXN,264,3,1.0,0.7016389663477605,0.0067175933639961796,-0.6949213729837643,0.1243796826310153,0.156568966035422,0.387
PBF,686,4,2.0,0.923346916382878,0.21776047336286344,-0.7055864430200146,0.7780991830454138,0.5490823669010569,0.35
PRAX,291,3,4.0,0.05164142905033831,-0.6930621130310322,-0.7447035420813705,0.4086458256135672,0.4296305951226251,0.071
SRRK,416,4,4.0,0.6153605870830754,-0.1872944054884125,-0.8026549925714879,0.38711596943996796,0.22467183819102543,0.09
TWST,403,4,1.0,2.0378742794089746,0.9065981297805452,-1.1312761496284294,0.2762666442425751,0.3015294546720318,0.219
NE,208,2,4.0,-0.6354161675308948,-1.811170826563934,-1.1757546590330392,0.3880544398022676,0.3867880227066145,0.387
OSCR,292,3,1.0,2.443730976744926,1.208466529379147,-1.2352644473657788,0.32910201900420316,0.1763849089778708,0.319
INDV,160,1,8.0,,,,0.0,0.0,1.0
