asset,n_obs,ann_vol_median,ann_vol_p95,vol_of_vol_median,vol_of_vol_p95,vol_of_vol_mean,kurtosis_logret
XRP,72925,0.0,1.2601942307135445,0.6656805212592551,1.905294305967972,0.8221722818952836,42.96669009096052
ETH,75406,0.006354095579522958,1.232198147302435,0.6662648133778976,1.672385610068724,0.7817985878608065,48.16876655770253
BTC,75411,0.006238413022848573,0.9481882425914913,0.5004454499692683,1.3281545953258915,0.6018069400846829,65.3193384352273
