K,state_rank,vol_zscore_mean,vol_of_vol_mean,vol_return_mean,wc_mean
2,0,0.005470297864671013,-0.39956070558252293,0.0009939491376961555,-0.046316688092990194
2,1,-0.002905230692053888,0.6036832092316295,-0.0018897460363905298,0.9605731059065666
3,0,-0.4891327957283035,-0.3975956203336016,-0.4211042227250917,-0.020454325557330476
3,1,0.5372690832094391,-0.38402401496479044,0.4444274715233135,-0.06358453381825643
3,2,-0.019375386768000397,0.6132282011036638,-0.004295679933300856,0.9788820111597275
4,0,-0.0005661771758694173,-0.5609107901733513,0.0047828799425052694,0.06403644288527799
4,1,-0.5977922950773096,-0.0766152687065503,-0.6059360958628771,-0.1802952013628904
4,2,0.4240039138231096,-0.0631671884662087,0.39661893469109694,-0.27430680133991847
4,3,-0.0003067417858283964,0.6507344681267884,-0.0002816541470105181,1.0592750580744106
5,0,-0.5237822199360124,-0.5226870551839241,-0.40915898791303384,0.13057616328702876
5,1,0.5602409172794283,-0.5216859479752952,0.4501628068107682,0.1048294749283472
5,2,0.06337730586176293,-0.07469191761975869,0.0020605701429589015,-0.49335912377255847
5,3,0.05695703522791008,0.5053832533322574,0.011511057519083741,-0.49474888454862437
5,4,-0.07120614476957829,0.6279167755927468,-0.010872817792062223,2.0939287986595327
