regime,n_hours,bh_sharpe,hmm_sharpe,sharpe_delta,bh_ann_ret,hmm_ann_ret,hmm_max_dd,hmm_pct_inv
high_vol,3749,-0.057012292129480474,-0.4492467364968423,-0.3922344443673619,-0.05268203985985347,-0.24915363499175608,0.5118001229161366,0.5594463317947911
low_vol,6343,-1.5573424028456133,-1.3478945400512106,0.20944786279440275,-0.6678095016150822,-0.4198420607102432,0.40237370433313074,0.7518785881636743
all_covered,10092,-0.6678199652924585,-0.8515085705658997,-0.18368860527344122,-0.4393004990268587,-0.35643432111268014,0.8823502299168872,0.6803933989913652
