asset,n_test_bars,n_windows,cal_eta,bh_sharpe,hmm_sharpe,sharpe_delta,bh_max_dd,hmm_max_dd,dd_improvement,bh_vol,hmm_vol,hmm_pct_invested,p_hmm_beats_bh
SOL,10610,3,2.0,-0.5127906755775615,2.54450912928897,3.057299804866531,0.8850590462548489,0.21697585150507248,0.6680831947497764,0.6252079122247037,0.31566330141185955,0.5406808566921008,0.929
DOGE,12538,4,8.0,-1.5745073588515026,0.26150351831721713,1.8360108771687198,1.3689256583785347,0.48873013837449697,0.8801955200040378,0.7198506240200981,0.36988418302429216,0.6008779640976238,0.922
ETH,15076,5,0.25,-0.05544772171688644,1.6034353443639306,1.6588830660808171,1.1759595441930473,0.3779879054119232,0.7979716387811241,0.6160149422260894,0.3308255004350638,0.6039037549271692,0.899
LTC,15253,5,2.0,-0.7239361101699361,0.8955561778164407,1.6194922879863767,1.2221633466086872,0.42835572465219685,0.7938076219564904,0.6583205177253486,0.31343809757455576,0.571577331627563,0.928
ADA,14662,5,2.0,-1.1798267320429292,0.21489502554281364,1.394721757585743,1.9906614701149432,0.6169026110613979,1.3737588590535452,0.7801013292626867,0.4464985580153263,0.6085705277770677,0.859
BNB,15433,5,1.0,0.11164224822843156,1.457531121353811,1.3458888731253793,0.9260255624096296,0.2707009282513649,0.6553246341582648,0.4924715371972017,0.29553992952680314,0.7037247629956248,0.849
LINK,13349,4,2.0,-1.0709918742430704,0.14349071615823444,1.2144825904013048,1.3008204422014784,0.39410594892651046,0.906714493274968,0.7190687584229406,0.40557396958408315,0.6288932818014066,0.862
BTC,15077,5,2.0,-0.6062927727196279,-0.4174471772760525,0.18884559544357538,0.7708037033859584,0.5607124904312838,0.2100912129546746,0.41765661542030574,0.3076445463536293,0.8093434464884828,0.589
USDC,12705,4,16.0,0.11079577550605241,0.1107957752783991,-2.2765331286755952e-10,0.004209688486031143,0.0042096884861958,-1.6465735025450456e-13,0.008564952795022993,0.008564952795016916,0.9999999999999893,0.503
XRP,14580,5,1.0,-0.6678199652924585,-0.8515085705628181,-0.18368860527035968,1.3050291272522876,0.882350229915366,0.42267889733692154,0.657812766700492,0.41859158372956135,0.6827298357761764,0.472
