symbol,n_test_bars,n_windows,cal_eta,bh_sharpe,hmm_sharpe,sharpe_delta,bh_max_dd,hmm_max_dd,p_hmm_beats_bh
OPEN,303,4,4.0,-1.3402340294370987,0.33842472739546736,1.678658756832566,0.6595869840676444,0.2082055744675236,0.944
MARA,630,4,2.0,-0.0013622664074599117,1.300823784013574,1.3021860504210339,1.2338390758778768,0.5177664322306348,0.885
PLTR,296,3,0.5,-0.7769487345346426,0.5072810033201538,1.2842297378547964,0.448965986204273,0.1951034415845043,1.0
LCID,271,3,2.0,-0.8077286566396211,0.39458610577924175,1.2023147624188628,0.8780988346806543,0.3541004256906585,0.929
DKNG,328,4,1.0,-0.9187877170342033,-0.45313874845016816,0.4656489685840351,0.5603399883291738,0.4449403114438859,0.631
SOFI,279,3,1.0,-0.31290292350242915,0.08634505247154409,0.3992479759739732,0.2688135881473983,0.22458388018012526,0.693
RIOT,471,4,0.25,0.4906893355291859,0.6229825989119693,0.13229326338278335,0.6797531587633799,0.5116436766811853,0.558
RIVN,256,3,2.0,0.34616940178042355,0.31396392486497005,-0.0322054769154535,0.314517824997296,0.2608630696920317,0.252
RKT,301,4,1.0,-1.2933663612396524,-1.3495255880773827,-0.056159226837730225,0.5805631571946597,0.3986461664535068,0.397
