window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2025-06-02 12:00:00+00:00,2025-08-31 11:00:00+00:00,2.836273370147664,0.13503900257057216,0.8341658069624168
1,2025-08-31 12:00:00+00:00,2025-11-29 11:00:00+00:00,3.0252157822699774,0.1520069779641357,0.6512815456861412
2,2025-11-29 12:00:00+00:00,2026-02-27 11:00:00+00:00,-2.194663302540231,0.2448522234120945,0.7509144029799922
3,2026-02-27 12:00:00+00:00,2026-05-28 15:00:00+00:00,1.4599660453414536,0.09992699416061696,0.6450840118081245
4,2026-05-28 16:00:00+00:00,2026-08-26 15:00:00+00:00,1.7912402524938753,0.10736133012489663,0.6371780475404097
