window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2025-07-08 01:00:00+00:00,2025-10-06 00:00:00+00:00,2.602821656311293,0.1778826236019867,0.6036246393207481
1,2025-10-06 01:00:00+00:00,2026-01-04 00:00:00+00:00,-2.021405419687047,0.42342218830546435,0.7008790918461445
2,2026-01-04 01:00:00+00:00,2026-04-04 00:00:00+00:00,-2.377825525215843,0.33165599991508765,0.5051407286902939
3,2026-04-04 01:00:00+00:00,2026-07-03 04:00:00+00:00,-2.226108474250511,0.3804764420035788,0.8879707589035066
4,2026-07-03 05:00:00+00:00,2026-09-01 16:00:00+00:00,-0.4608576093096048,0.1500153573845347,0.7160339601201828
