asset,n_test_bars,n_windows,cal_eta,bh_sharpe,hmm_sharpe,sharpe_delta,bh_max_dd,hmm_max_dd,dd_improvement,bh_vol,hmm_vol,hmm_pct_invested,p_hmm_beats_bh
SOL,10610,3,2.0,-0.5127906755775615,2.5445091292804323,3.057299804857994,0.8850590462548489,0.21697585150466425,0.6680831947501846,0.6252079122247037,0.3156633014124507,0.5406808566926841,0.929
DOGE,12538,4,8.0,-1.5745073588515026,0.26150351828076046,1.8360108771322632,1.3689256583785347,0.4887301383756203,0.8801955200029145,0.7198506240200981,0.36988418302338494,0.6008779640961597,0.922
ETH,15076,5,0.25,-0.05544772171688644,1.603435344361117,1.6588830660780034,1.1759595441930473,0.3779879054126678,0.7979716387803795,0.6160149422260894,0.3308255004351222,0.6039037549272182,0.899
LTC,15253,5,2.0,-0.7239361101699361,0.8955561778209918,1.619492287990928,1.2221633466086872,0.4283557246523573,0.7938076219563299,0.6583205177253486,0.3134380975743373,0.5715773316272597,0.928
ADA,14662,5,2.0,-1.1798267320429292,0.21489502554201567,1.3947217575849449,1.9906614701149432,0.6169026110619257,1.3737588590530176,0.7801013292626867,0.44649855801522514,0.6085705277769936,0.859
BNB,15433,5,1.0,0.11164224822843156,1.457531121356076,1.3458888731276444,0.9260255624096296,0.2707009282503997,0.6553246341592299,0.4924715371972017,0.2955399295266928,0.703724762995417,0.849
LINK,13349,4,2.0,-1.0709918742430704,0.14349071615817863,1.214482590401249,1.3008204422014784,0.3941059489260875,0.9067144932753909,0.7190687584229406,0.4055739695842931,0.6288932818015193,0.862
BTC,15077,5,2.0,-0.6062927727196279,-0.41744717727377423,0.18884559544585366,0.7708037033859584,0.5607124904311506,0.21009121295480782,0.41765661542030574,0.30764454635370236,0.8093434464886062,0.589
USDC,12705,4,16.0,0.11079577550605241,0.11079577527332231,-2.3273009908120201e-10,0.004209688486031143,0.0042096884862309085,-1.9976555132306117e-13,0.008564952795022993,0.008564952795029421,0.9999999999999826,0.503
XRP,14580,5,1.0,-0.6678199652924585,-0.8515085705651724,-0.1836886052727139,1.3050291272522876,0.8823502299176211,0.42267889733466646,0.657812766700492,0.41859158372977673,0.6827298357761752,0.472
