window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2025-06-17 12:00:00+00:00,2025-09-15 11:00:00+00:00,3.8163105459195856,0.17530211285678865,0.8428220652021302
1,2025-09-15 12:00:00+00:00,2025-12-14 11:00:00+00:00,-1.7212164692707128,0.17960307511273663,0.4801022099311539
2,2025-12-14 12:00:00+00:00,2026-03-14 11:00:00+00:00,-1.5263119321942018,0.26165829273200125,0.5410845743148597
3,2026-03-14 12:00:00+00:00,2026-06-12 11:00:00+00:00,0.6171553702541004,0.18926038869908068,0.5477236145750638
4,2026-06-12 12:00:00+00:00,2026-09-01 15:00:00+00:00,5.722330245627843,0.08043070933430022,0.6077863106128831
