window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2020-12-29,2021-06-14,1.7968406534698922,0.07732392707786245,0.6755808726055069
1,2021-06-15,2021-12-06,0.3081240180565477,0.10915032001336959,0.7001987563715348
2,2021-12-07,2022-05-17,-0.34448073024125336,0.20716026640832458,0.8346298422650755
3,2022-05-18,2022-11-14,1.2541112644044723,0.13268449963021978,0.7858398901269902
4,2022-11-15,2023-04-17,-0.9827743337242418,0.18699527285383577,0.8134405970775516
