window,test_start,test_end,test_sharpe,test_max_dd,pct_invested
0,2025-07-08 01:00:00+00:00,2025-10-06 00:00:00+00:00,2.602821656321508,0.1778826236003358,0.6036246393204351
1,2025-10-06 01:00:00+00:00,2026-01-04 00:00:00+00:00,-2.02140541967877,0.4234221883043551,0.7008790918464639
2,2026-01-04 01:00:00+00:00,2026-04-04 00:00:00+00:00,-2.3778255252245937,0.3316559999157078,0.5051407286901233
3,2026-04-04 01:00:00+00:00,2026-07-03 04:00:00+00:00,-2.226108474252999,0.3804764420035426,0.887970758903472
4,2026-07-03 05:00:00+00:00,2026-09-01 16:00:00+00:00,-0.4608576093028873,0.15001535738341565,0.716033960120388
