window,test_start,test_end,best_target_per_state,train_sharpe,test_sharpe,test_max_dd,test_ann_ret,pct_invested
0,2020-08-06 11:00:00+00:00,2020-12-05 11:00:00+00:00,"{0: 0.2, 1: 0.4, 2: 0.8}",0.03957395315633425,2.1316399129818064,0.1452446687429022,0.6227289145825112,0.5716481866747014
1,2020-12-05 12:00:00+00:00,2021-03-05 18:00:00+00:00,"{0: 1.0, 1: 0.5, 2: 0.3}",0.03023926852319873,4.752285039794477,0.1929344130317081,2.377890691365254,0.6062498271222749
2,2021-03-05 19:00:00+00:00,2021-06-04 00:00:00+00:00,"{0: 0.2, 1: 0.6, 2: 0.9}",0.0473600425309205,-0.23635908361027844,0.3407646811342989,-0.11868124805956339,0.6943182928904893
3,2021-06-04 01:00:00+00:00,2021-09-02 04:00:00+00:00,"{0: 0.7, 1: 0.2, 2: 0.2}",0.051355160136508225,2.037005025383914,0.20225447340409985,0.846598898112627,0.5885760085097492
4,2021-09-02 05:00:00+00:00,2021-12-01 06:00:00+00:00,"{0: 0.8, 1: 0.2, 2: 0.2}",0.01660505773382771,1.9091668574070029,0.17983674323846116,0.7564109890415041,0.6333227788760472
5,2021-12-01 07:00:00+00:00,2022-03-01 06:00:00+00:00,"{0: 0.2, 1: 0.9, 2: 1.0}",0.019466094003867725,-0.8236188506226865,0.4340246755553398,-0.4649511353718383,0.7637233599633783
6,2022-03-01 07:00:00+00:00,2022-05-30 06:00:00+00:00,"{0: 1.0, 1: 0.2, 2: 0.2}",0.026661399605058547,-0.2097004234505238,0.22551934373644347,-0.07299812622051843,0.5105572720473996
7,2022-05-30 07:00:00+00:00,2022-08-28 06:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 1.0}",-0.017113974668417985,-2.5580007269042047,0.5170169619506876,-1.3289409732649908,0.6109221923464773
8,2022-08-28 07:00:00+00:00,2022-11-26 06:00:00+00:00,"{0: 0.2, 1: 0.5, 2: 0.2}",-0.021032165378683427,-0.9520132599609862,0.16629640018039668,-0.26289760549776475,0.6531755126248547
9,2022-11-26 07:00:00+00:00,2023-02-24 06:00:00+00:00,"{0: 1.0, 1: 0.6, 2: 0.2}",-0.01729175609263994,2.99883002269346,0.09585655350248104,0.9302030754987407,0.9213349280737083
10,2023-02-24 07:00:00+00:00,2023-05-25 08:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 0.7}",0.013732786370522644,1.7134741290709756,0.1212842219676471,0.6269329837771977,0.7279710231782617
11,2023-05-25 09:00:00+00:00,2023-08-23 08:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 1.0}",0.02667640249760371,0.7083946030043027,0.16875098469760136,0.19733600396812662,0.8110826976616204
12,2023-08-23 09:00:00+00:00,2023-11-21 08:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 1.0}",0.014288621060343468,2.0929687499530605,0.11215292106928969,0.6283910846604603,0.795049191429477
13,2023-11-21 09:00:00+00:00,2024-02-19 08:00:00+00:00,"{0: 1.0, 1: 0.3, 2: 0.3}",0.026505641929605403,3.1771855231660955,0.1304262268372379,0.9270118688064574,0.7757233460520941
14,2024-02-19 09:00:00+00:00,2024-05-19 08:00:00+00:00,"{0: 1.0, 1: 1.0, 2: 0.2}",0.04335847569968538,1.6759422602112035,0.16461598072742176,0.4707459871855672,0.6133515286106562
15,2024-05-19 09:00:00+00:00,2024-09-17 08:00:00+00:00,"{0: 0.5, 1: 0.2, 2: 0.3}",0.041107266299318226,-0.6393955878840528,0.17444876333427534,-0.19035948688108598,0.7096366360855719
16,2024-09-17 09:00:00+00:00,2025-01-16 08:00:00+00:00,"{0: 0.5, 1: 0.2, 2: 0.2}",0.014256978989350346,5.629924595506552,0.09197111601649555,1.5720319357522714,0.6989012968777205
17,2025-01-16 09:00:00+00:00,2025-04-16 08:00:00+00:00,"{0: 0.9, 1: 0.2, 2: 0.2}",0.022673610543929367,-1.291707914275558,0.1689046408028611,-0.32369275611145365,0.5864930967837463
18,2025-04-16 09:00:00+00:00,2025-07-15 08:00:00+00:00,"{0: 0.2, 1: 1.0, 2: 0.2}",0.054569725573191806,4.179926622935673,0.07758108056192646,0.9011831125723279,0.6848683581268069
19,2025-07-15 09:00:00+00:00,2025-10-13 08:00:00+00:00,"{0: 1.0, 1: 1.0, 2: 1.0}",0.0091199148620859,-0.16592268373907818,0.14240872612011615,-0.05324887488981682,1.0
20,2025-10-13 09:00:00+00:00,2026-01-11 08:00:00+00:00,"{0: 0.6, 1: 0.6, 2: 0.7}",0.020798886148988685,-2.1723270403735193,0.33390662423150097,-0.950210019383461,0.9901820515332677
21,2026-01-11 09:00:00+00:00,2026-04-11 08:00:00+00:00,"{0: 0.8, 1: 0.2, 2: 0.2}",-0.0012698442818699915,-2.5884546829979187,0.25248498657093726,-0.6085480879484995,0.5552088322135039
22,2026-04-11 09:00:00+00:00,2026-07-10 08:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 0.2}",-0.019823839286196264,-1.6182805085595098,0.18877273169044717,-0.30873261976430816,0.5930655348159094
23,2026-07-10 09:00:00+00:00,2026-09-01 14:00:00+00:00,"{0: 0.2, 1: 1.0, 2: 0.2}",0.0062645232290330114,4.437236694590597,0.052090851891138754,0.9617405297376392,0.7551344205446973
